session_id,window_id,timestamp_trigger,timestamp_order_sent,timestamp_confirmed,side,strike_price,hl_price_at_trigger,gap_value,gap_threshold_used,atr_regime,cvd_60s,cvd_threshold_used,cvd_threshold_pct,velocity,entry_odds,odds_in_sweet_spot,spread_pct,expected_odds,mispricing_delta,slippage_delta,slippage_threshold_used,blockchain_latency_ms,shares_bought,cost_usdc,result,resolution_price,payout_usdc,pnl_usdc,claim_method,claim_timestamp,mode,bot_version
SES-1776805059,btc-updown-5m-1776828900,2026-04-22 03:36:04.810496+00:00,2026-04-22 03:36:04.810595+00:00,2026-04-22 03:36:04.810604+00:00,DOWN,0.36,77404.5,-44.99171647999901,10.0,HIGH,-245277.545379862,30432.180789014576,0.0,0.0,0.36,True,0.0,0.36,0.0,0.0,0.0,0,2.0,0.72,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776828900,2026-04-22 03:36:09.629113+00:00,2026-04-22 03:36:09.629145+00:00,2026-04-22 03:36:09.629153+00:00,UP,0.37,77404.5,-44.99171647999901,10.0,HIGH,2795138.6282401374,179543.6396940146,0.0,0.5,0.37,True,0.0,0.37,0.0,0.0,0.0,0,2.0,0.74,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776829200,2026-04-22 03:41:00.274890+00:00,2026-04-22 03:41:00.274945+00:00,2026-04-22 03:41:00.274954+00:00,UP,0.01,77402.0,-48.93111999999383,10.0,HIGH,675871.568100141,71029.25574001465,0.0,2.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776829500,2026-04-22 03:46:00.539285+00:00,2026-04-22 03:46:00.539405+00:00,2026-04-22 03:46:00.539420+00:00,DOWN,0.38,77514.5,-87.83358500000031,10.0,HIGH,504924.034580144,53142.75706601472,0.0,0.5,0.38,True,0.0,0.38,0.0,0.0,0.0,0,2.0,0.76,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776829500,2026-04-22 03:46:02.363297+00:00,2026-04-22 03:46:02.363310+00:00,2026-04-22 03:46:02.363315+00:00,UP,0.39,77514.5,-87.83358500000031,10.0,HIGH,504059.512210144,53104.64687151471,0.0,0.0,0.39,True,0.0,0.39,0.0,0.0,0.0,0,2.0,0.78,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776829800,2026-04-22 03:51:00.194369+00:00,2026-04-22 03:51:00.194576+00:00,2026-04-22 03:51:00.194597+00:00,DOWN,0.01,77546.0,-36.37421379999432,15.0,NORM,3689838.6896601417,202800.96080701504,0.0,-0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776829800,2026-04-22 03:51:03.841751+00:00,2026-04-22 03:51:03.841793+00:00,2026-04-22 03:51:03.841802+00:00,UP,0.01,77547.0,-35.37421379999432,15.0,NORM,3818054.182030141,207585.59039051505,0.0,0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776830100,2026-04-22 03:56:02.661900+00:00,2026-04-22 03:56:02.661961+00:00,2026-04-22 03:56:02.661968+00:00,UP,0.35,77529.0,-47.55899999999383,15.0,NORM,220296.48026014204,48750.32527701484,0.0,2.5,0.35,True,0.0,0.35,0.0,0.0,0.0,0,2.0,0.7,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_UP,2.3
SES-1776805059,btc-updown-5m-1776830100,2026-04-22 03:56:05.671132+00:00,2026-04-22 03:56:05.671162+00:00,2026-04-22 03:56:05.671170+00:00,DOWN,0.36,77537.5,-39.05899999999383,15.0,NORM,192287.62354014203,47192.59642401483,0.0,7.5,0.36,True,0.0,0.36,0.0,0.0,0.0,0,2.0,0.72,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
SES-1776805059,btc-updown-5m-1776830400,2026-04-22 04:01:00.264028+00:00,2026-04-22 04:01:00.264143+00:00,2026-04-22 04:01:00.264163+00:00,DOWN,0.01,77526.5,-37.59377167999628,15.0,NORM,553549.6252001422,65593.43402101482,0.0,11.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,0.0,0.0,0.0,0.0,,HEDGE_DOWN,2.3
