session_id,window_id,timestamp,t_remaining_sec,strike_price,hl_price,gap,gap_direction,atr_60m,atr_regime,cvd_60s,cvd_aligned,avg_volume_per_min,poly_up_odds,poly_down_odds,poly_up_ask_depth,poly_down_bid_depth,spread_pct,dual_side_ok,chainlink_age_sec,bot_mode,all_gates_pass,window_result
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:39.419,81,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,17,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:44.438,76,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,21,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:49.459,71,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,24,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:54.486,66,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,29,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:48:59.500,61,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,29,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:04.516,56,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,29,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:09.524,51,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:14.530,46,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:19.548,41,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:24.565,36,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:29.578,31,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:34.584,26,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:39.602,21,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:44.618,16,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:49.628,11,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:54.639,6,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776609900,2026-04-19 14:49:59.648,1,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:04.659,296,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:09.674,291,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,13,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:14.694,286,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:19.709,281,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:24.717,276,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:29.732,271,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,9,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:34.746,266,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,31,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:39.754,261,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,31,INIT,False,
2026-04-19-143957,btc-updown-5m-1776610200,2026-04-19 14:50:44.838,256,76018.044,75951.5,-66.54399999999441,DOWN,0.0,LOW,-2.22156,True,8.33426,0,0,0,0,0,False,31,INIT,False,
